종목코드,종목명,g(%),beta,기술독점성·시장점유율(25),전환비용·생태계 락인(25),OPM 체력(25),진입장벽(25),m_score,m_factor,beta 지수(1/m_factor),이전 m_score,차이,항목별 근거,비고
005930,삼성전자,36.5,1.548,15,10,14,20,59,1.59,0.629,55,4,"기술: DRAM·NAND 점유율 1위권이나 HBM 후발, 파운드리 열세 / 락인: 메모리는 범용재, 갤럭시 생태계는 중간 / OPM: 부문별 편차 크고 메모리 사이클 의존 / 장벽: 초대형 설비투자·공정기술","2026-09-26 Claude 항목별 산정, config 반영"
000660,SK하이닉스,109.12,2.395,21,14,17,20,72,1.72,0.581,67,5,기술: HBM 점유율 1위(엔비디아 주공급) / 락인: HBM은 고객사 인증·공동설계로 전환이 느림 / OPM: 업사이클 고점 마진 매우 높지만 사이클 산업 / 장벽: 설비투자·공정기술,"2026-09-26 Claude 항목별 산정, config 반영"
005380,현대차,9.5,1.723,11,7,9,14,41,1.41,0.709,36,5,"기술: 글로벌 완성차 3위권 그룹, 하이브리드·EV 경쟁력 양호 / 락인: 브랜드 전환비용 낮음 / OPM: 완성차 중 상위지만 한 자릿수 / 장벽: 자본집약·브랜드·딜러망","2026-09-26 Claude 항목별 산정, config 반영"
AAPL,애플,12.49,1.086,20,24,20,18,82,1.82,0.549,76,6,"기술: 프리미엄 스마트폰 점유율 압도 / 락인: iOS·iCloud·앱 생태계로 이탈 매우 어려움 / OPM: 30%대, 서비스 비중 상승 / 장벽: 브랜드·공급망·자체 칩","2026-09-26 Claude 항목별 산정, config 반영"
AMZN,아마존닷컴,24.47,1.454,21,17,12,21,71,1.71,0.585,64,7,"기술: 미국 이커머스 1위, 클라우드(AWS) 1위 / 락인: AWS 전환비용 큼, 프라임 멤버십 / OPM: 커머스가 전체 마진을 희석해 10%대 / 장벽: 물류망·데이터센터 규모","2026-09-26 Claude 항목별 산정, config 반영"
AVGO,브로드컴,56.98,1.473,22,20,23,21,86,1.86,0.538,77,9,기술: 커스텀 AI 가속기(ASIC)·네트워킹 칩 선두 / 락인: 커스텀 칩 설계 채택·VMware 소프트웨어 / OPM: 반도체 최상위권 / 장벽: IP·설계 역량,"2026-09-26 Claude 항목별 산정, config 반영"
GOOGL,알파벳 A,18.16,1.237,23,14,20,20,77,1.77,0.565,71,6,기술: 검색 점유율 약 90% / 락인: 검색 전환은 쉽지만 기본검색 계약·안드로이드·클라우드가 보완 / OPM: 30%대 / 장벽: 데이터·인프라·AI 규모,"2026-09-26 Claude 항목별 산정, config 반영"
META,메타 플랫폼스,18.43,1.243,20,16,21,18,75,1.75,0.571,69,6,"기술: SNS·메신저 이용자 점유율 최상위 / 락인: 네트워크 효과, 광고 플랫폼 전환장벽은 중간 / OPM: 40% 내외 / 장벽: 이용자 규모·광고 데이터","2026-09-26 Claude 항목별 산정, config 반영"
MSFT,마이크로소프트,18.29,1.099,21,24,22,21,88,1.88,0.532,83,5,기술: OS·오피스·클라우드 2위 / 락인: 엔터프라이즈 전방위 락인(Office·Azure·Windows) / OPM: 40%대 / 장벽: 엔터프라이즈 영업망·규모,"2026-09-26 Claude 항목별 산정, config 반영"
NVDA,엔비디아,61.95,2.215,24,23,24,22,93,1.93,0.518,93,0,기술: AI GPU 점유율 압도 / 락인: CUDA 소프트웨어 생태계 / OPM: 60% 내외 / 장벽: 설계·소프트웨어·공급망 선점,"2026-09-26 Claude 항목별 산정, config 반영"
